@relation VBTrain_5
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping, spiking,setting,recieving,moving}
@data
322.6722,487.92517,236.62778,355.42917,-256.4389,394.06174,moving
85.02778,146.14752,506.9889,722.3907,82.26667,140.24593,moving
79.9,155.29335,520.4056,764.83044,51.966667,161.27777,moving
108.005554,183.84753,432.04443,690.5643,-131.77777,283.02936,moving
44.31111,222.41891,511.49445,744.2351,128.76666,201.72917,moving
60.444443,254.08363,486.02222,770.12964,-32.7,216.01239,moving
86.138885,304.93985,495.55554,824.8492,-98.95556,284.11652,moving
90.005554,163.78972,520.93335,748.2128,36.705555,65.363495,moving
66.9,144.50311,513.2611,748.67285,26.461111,109.683815,moving
88.26667,167.05537,464.22223,686.0614,-136.87222,261.32687,moving
79.37222,134.43584,512.5333,749.7766,22.73889,67.604126,moving
112.244446,176.50447,527.2778,756.1827,5.5111113,245.69637,moving
71.994446,137.04007,481.82224,695.99036,-115.31111,230.3885,moving
63.211113,144.41539,495.07224,722.19727,-85.3,184.70197,moving
130.82777,206.41151,506.95,726.7856,8.172222,130.2733,moving
110.35555,171.14348,504.53333,747.4145,40.922222,70.59051,moving
117.39445,220.2364,492.70557,701.07605,-10.577778,97.78324,moving
115.333336,242.47833,513.32776,764.01556,5.827778,139.98476,moving
130.73334,233.19714,442.53888,669.4112,-202.42223,415.5444,moving
40.511112,134.89757,470.92776,714.80505,-33.072224,115.3427,moving
55.211113,216.4155,536.91113,904.55945,41.916668,146.43114,moving
